0	0.00	0.00
1	2.00	0.00
2	4.00	0.00
3	6.00	0.00
4	8.00	0.00
5	10.00	0.00
6	12.00	0.00
7	14.00	0.00
8	0.00	2.00
9	2.00	2.00
10	4.00	2.00
11	6.00	2.00
12	8.00	2.00
13	10.00	2.00
14	12.00	2.00
15	14.00	2.00
16	0.00	4.00
17	2.00	4.00
18	4.00	4.00
19	6.00	4.00
20	8.00	4.00
21	10.00	4.00
22	12.00	4.00
23	14.00	4.00
24	0.00	6.00
25	2.00	6.00
26	4.00	6.00
27	6.00	6.00
28	8.00	6.00
29	10.00	6.00
30	12.00	6.00
31	14.00	6.00
32	0.00	8.00
33	2.00	8.00
34	4.00	8.00
35	6.00	8.00
36	8.00	8.00
37	10.00	8.00
38	12.00	8.00
39	14.00	8.00
40	0.00	10.00
41	2.00	10.00
42	4.00	10.00
43	6.00	10.00
44	8.00	10.00
45	10.00	10.00
46	12.00	10.00
47	14.00	10.00
48	0.00	12.00
49	2.00	12.00
50	4.00	12.00
51	6.00	12.00
52	8.00	12.00
53	10.00	12.00
54	12.00	12.00
55	14.00	12.00
56	0.00	14.00
57	2.00	14.00
58	4.00	14.00
59	6.00	14.00
60	8.00	14.00
61	10.00	14.00
62	12.00	14.00
63	14.00	14.00
