usage,memory_type,protocol
1.5,RAM,CTP
1.81,RAM,XCTP
1.83,RAM,MATRIX
6.5,RAM,RPL
16.2,ROM,CTP
17.94,ROM,XCTP
23.45,ROM,MATRIX
42.86,ROM,RPL
