"","continent","n_components","comp_out_in_degree","components_out_degree","components_in_degree","components"
"12","Africa",21,"Algeria (0/ 0)","Algeria (0)","Algeria (0)","Algeria"
"13","Africa",21,"Sudan (0/ 0)","Sudan (0)","Sudan (0)","Sudan"
"14","Africa",21,"Gambia (0/ 0)","Gambia (0)","Gambia (0)","Gambia"
"15","Africa",21,"Central African Republic (0/ 0)","Central African Republic (0)","Central African Republic (0)","Central African Republic"
"16","Africa",21,"Eritrea (0/ 0)","Eritrea (0)","Eritrea (0)","Eritrea"
"17","Africa",21,"Libya (0/ 0)","Libya (0)","Libya (0)","Libya"
"18","Africa",21,"Sao Tome and Principe (0/ 0)","Sao Tome and Principe (0)","Sao Tome and Principe (0)","Sao Tome and Principe"
"19","Africa",21,"Cape Verde (0/ 0)","Cape Verde (0)","Cape Verde (0)","Cape Verde"
"20","Africa",21,"Guinea-Bissau (0/ 0)","Guinea-Bissau (0)","Guinea-Bissau (0)","Guinea-Bissau"
"21","Africa",21,"Sierra Leone (0/ 0)","Sierra Leone (0)","Sierra Leone (0)","Sierra Leone"
"22","Africa",21,"Seychelles (0/ 0)","Seychelles (0)","Seychelles (0)","Seychelles"
"23","Africa",21,"Congo (0/ 0)","Congo (0)","Congo (0)","Congo"
"24","Africa",21,"Nigeria (0/ 0)","Nigeria (0)","Nigeria (0)","Nigeria"
"25","Africa",21,"Cameroon (0/ 0)","Cameroon (0)","Cameroon (0)","Cameroon"
"26","Oceania",4,"Australia (5/ 2); Fiji (9/ 2); New Zealand (6/ 2); Samoa (1/ 2); Papua New Guinea (0/ 3); Vanuatu (0/ 2); Nauru (0/ 2); Solomon Islands (0/ 1); Kiribati (0/ 2); Tuvalu (0/ 1); Tonga (0/ 2)","Australia (5); Fiji (9); New Zealand (6); Samoa (1); Papua New Guinea (0); Vanuatu (0); Nauru (0); Solomon Islands (0); Kiribati (0); Tuvalu (0); Tonga (0)","Australia (2); Fiji (2); New Zealand (2); Samoa (2); Papua New Guinea (3); Vanuatu (2); Nauru (2); Solomon Islands (1); Kiribati (2); Tuvalu (1); Tonga (2)","Australia; Fiji; New Zealand; Samoa; Papua New Guinea; Vanuatu; Nauru; Solomon Islands; Kiribati; Tuvalu; Tonga"
"27","Oceania",4,"Marshall Islands (0/ 0)","Marshall Islands (0)","Marshall Islands (0)","Marshall Islands"
"28","Oceania",4,"Micronesia(Federated States of) (0/ 0)","Micronesia(Federated States of) (0)","Micronesia(Federated States of) (0)","Micronesia(Federated States of)"
"29","Oceania",4,"Palau (0/ 0)","Palau (0)","Palau (0)","Palau"
