"","country","continent","out_degree","in_degree","out_strength","scope"
"Fiji","Fiji","Oceania",9,9,75486765272.821,"global"
"Greece","Greece","Europe",9,11,75479705364.991,"global"
"Slovakia","Slovakia","Europe",10,9,83864162362.992,"global"
"Norway","Norway","Europe",10,10,83858867189.502,"global"
"New Zealand","New Zealand","Oceania",10,12,83873593182.235,"global"
"Lithuania","Lithuania","Europe",12,15,100636125604.576,"global"
"Serbia","Serbia","Europe",12,16,100652465162.576,"global"
"Austria","Austria","Europe",14,14,117121884409.727,"global"
"Czechia","Czechia","Europe",14,17,117407338613.172,"global"
"Romania","Romania","Europe",15,8,125774230271.37,"global"
"Kenya","Kenya","Africa",19,17,159361838129.508,"global"
"South Africa","South Africa","Africa",20,18,167438150628.467,"global"
"Australia","Australia","Oceania",21,21,176017022019.163,"global"
"Thailand","Thailand","Asia",23,21,192864699394.024,"global"
"Sweden","Sweden","Europe",24,8,201275327890.061,"global"
"Ireland","Ireland","Europe",30,17,247479728537.701,"global"
"Singapore","Singapore","Asia",34,19,285117074509.297,"global"
"Japan","Japan","Asia",40,13,335336656743.145,"global"
"Hungary","Hungary","Europe",40,15,335323330778.92,"global"
"Spain","Spain","Europe",41,18,337841693270.179,"global"
"Brazil","Brazil","Americas",42,19,352276238000.516,"global"
"Canada","Canada","Americas",48,16,402224376437.347,"global"
"United Arab Emirates","United Arab Emirates","Asia",55,16,460678986052.319,"global"
"UK","UK","Europe",56,26,469136030624.641,"global"
"Switzerland","Switzerland","Europe",57,17,472905333374.27,"global"
"Indonesia","Indonesia","Asia",69,14,578662104885.311,"global"
"Bulgaria","Bulgaria","Europe",70,10,587100338866.015,"global"
"Germany","Germany","Europe",74,31,610517325921.147,"global"
"Italy","Italy","Europe",80,19,667952027761.21,"global"
"Russia","Russia","Asia",84,20,703162080718.726,"global"
"Denmark","Denmark","Europe",106,15,889051712082.182,"global"
"South Korea","South Korea","Asia",117,20,980848045783.364,"global"
"China","China","Asia",140,17,1158736781126.72,"global"
"USA","USA","Americas",145,34,1201802198623.71,"global"
"Netherlands","Netherlands","Europe",153,26,1282118891486.8,"global"
"India","India","Asia",162,16,1357710994162.73,"global"
"Belgium","Belgium","Europe",168,25,1372752635961.93,"global"
