"Area","Item","Element","2013",flag,
"Africa","Tea","Yield (Hg/Ha)","20294.52","Fc",
"Eastern Africa","Tea","Area harvested (Ha)","333688","A",
"Eastern Africa","Tea","Yield (Hg/Ha)","20690.2","Fc",
"Middle Africa","Tea","Area harvested (Ha)","10000","A",
"Middle Africa","Tea","Yield (Hg/Ha)","7600","Fc",
"Southern Africa","Tea","Area harvested (Ha)","650","A",
"Southern Africa","Tea","Yield (Hg/Ha)","13846.15","Fc",
"Western Africa","Tea","Area harvested (Ha)","118","A",
"Western Africa","Tea","Yield (Hg/Ha)","12711.86","Fc",
"Americas","Tea","Area harvested (Ha)","42686.86","A",
"Americas","Tea","Yield (Hg/Ha)","27112.89","Fc",
"Central America","Tea","Area harvested (Ha)","970","A",
"Central America","Tea","Yield (Hg/Ha)","11907.22","Fc",
"South America","Tea","Area harvested (Ha)","41716.86","A",
"South America","Tea","Yield (Hg/Ha)","27466.46","Fc",
"Asia","Tea","Area harvested (Ha)","3130454.07","A",
"Asia","Tea","Yield (Hg/Ha)","14457.01","Fc",
"Eastern Asia","Tea","Area harvested (Ha)","1811400","A",
"Eastern Asia","Tea","Yield (Hg/Ha)","11192.76","Fc",
"Southern Asia","Tea","Area harvested (Ha)","887785","A",
"Southern Asia","Tea","Yield (Hg/Ha)","20203.07","Fc",
"South-Eastern Asia","Tea","Area harvested (Ha)","350870.07","A",
"South-Eastern Asia","Tea","Yield (Hg/Ha)","13919.03","Fc",
"Western Asia","Tea","Area harvested (Ha)","80399","A",
"Western Asia","Tea","Yield (Hg/Ha)","26899.34","Fc",
"Europe","Tea","Area harvested (Ha)","624","A",
"Europe","Tea","Yield (Hg/Ha)","5288.46","Fc",
"Eastern Europe","Tea","Area harvested (Ha)","456","A",
"Eastern Europe","Tea","Yield (Hg/Ha)","1973.68","Fc",
"Southern Europe","Tea","Area harvested (Ha)","168","A",
"Southern Europe","Tea","Yield (Hg/Ha)","14285.71","Fc",
"Oceania","Tea","Area harvested (Ha)","3000","A",
"Oceania","Tea","Yield (Hg/Ha)","15666.67","Fc",
"Melanesia","Tea","Area harvested (Ha)","3000","A",
"Melanesia","Tea","Yield (Hg/Ha)","15666.67","Fc",
"European Union","Tea","Area harvested (Ha)","43","A",
"European Union","Tea","Yield (Hg/Ha)","32558.14","Fc",
"Least Developed Countries","Tea","Area harvested (Ha)","292255","A",
"Least Developed Countries","Tea","Yield (Hg/Ha)","12209.89","Fc",
"Land Locked Developing Countries","Tea","Area harvested (Ha)","120384.86","A",
"Land Locked Developing Countries","Tea","Yield (Hg/Ha)","18431.05","Fc",
"Small Island Developing States","Tea","Area harvested (Ha)","3762","A",
"Small Island Developing States","Tea","Yield (Hg/Ha)","16759.7","Fc",
"Low Income Food Deficit Countries","Tea","Area harvested (Ha)","1208144","A",
"Low Income Food Deficit Countries","Tea","Yield (Hg/Ha)","19311.85","Fc",
"Net Food Importing Developing Countries","Tea","Area harvested (Ha)","715975","A",
"Net Food Importing Developing Countries","Tea","Yield (Hg/Ha)","15864.07","Fc",

,Official data
A,Aggregate, may include official, semi-official, estimated or calculated data
F,FAO estimate
Fc,Calculated data

FAOSTAT 2015, Date : 02/08/2015
