STN---,WBAN , YEARMODA,   TEMP,  ,   DEWP,  ,  SLP  ,  ,  STP  ,  , VISIB,  ,  WDSP,  , MXSPD,  GUST,   MAX  ,  MIN  ,PRCP  ,SNDP , FRSHTT,
722098,64761, 20130610,   62.9, 6,   60.8, 6, 9999.9, 0, 1017.1, 6,   2.3, 6,   4.4, 6,   6.0, 999.9,   66.2*,  60.8*,99.99 ,999.9, 010000,
722098,64761, 20130612,   69.6, 8,   54.7, 8, 9999.9, 0, 1005.7, 8,  10.0, 8,  14.8, 8,  17.1,  28.9,   71.6*,  66.2*, 0.00I,999.9, 000000,
722098,64761, 20130613,   60.2, 6,   56.6, 6, 9999.9, 0, 1002.8, 6,   8.2, 6,  10.3, 6,  15.0, 999.9,   60.8*,  59.0*,99.99 ,999.9, 010000,
722098,64761, 20130614,   61.3, 8,   53.6, 8, 9999.9, 0, 1004.0, 8,   8.1, 8,   7.5, 8,  15.0,  19.0,   66.2*,  55.4*,99.99 ,999.9, 010000,
722098,64761, 20130615,   70.2, 4,   54.5, 4, 9999.9, 0, 1012.9, 4,  10.0, 4,  10.2, 4,  12.0, 999.9,   73.4*,  66.2*, 0.00I,999.9, 000000,
722098,64761, 20130616,   68.3, 7,   61.6, 7, 9999.9, 0, 1009.2, 7,   9.6, 7,  11.3, 7,  15.9, 999.9,   69.8*,  66.2*,99.99 ,999.9, 010000,
722098,64761, 20130617,   72.1, 7,   65.9, 7, 9999.9, 0, 1009.7, 7,   9.1, 7,  10.1, 7,  14.0, 999.9,   77.0*,  68.0*, 0.00I,999.9, 000000,
722098,64761, 20130618,   69.5, 7,   64.9, 7, 9999.9, 0, 1010.0, 7,   9.6, 7,   4.4, 7,   8.9, 999.9,   73.4*,  66.2*, 0.00I,999.9, 000000,
722098,64761, 20130619,   68.7,10,   56.5,10, 9999.9, 0, 1015.0,10,   9.6,10,   5.5,10,   8.9, 999.9,   73.4*,  64.4*,99.99 ,999.9, 010000,
722098,64761, 20130620,   69.6, 9,   55.8, 9, 9999.9, 0, 1023.4, 9,  10.0, 9,   8.4, 9,  12.0, 999.9,   73.4*,  68.0*, 0.00I,999.9, 000000,
722098,64761, 20130621,   70.1, 6,   58.1, 6, 9999.9, 0, 1024.3, 6,  10.0, 6,  11.1, 6,  13.0, 999.9,   71.6*,  68.0*, 0.00I,999.9, 000000,
722098,64761, 20130623,   73.1,12,   67.7,12, 9999.9, 0, 1019.3,12,   9.8,12,  12.2,12,  15.0,  22.0,   77.0*,  66.2*, 0.00I,999.9, 000000,
