USAF,WBAN,STATION_NAME,CTRY,FIPS,STATE,CALL,LAT,LON,ELEV(.1M),BEGIN,END
644550,99999,MOSSAKA,CG,CF,NA,NA,-1217,16800,2960,19730629,20050829
644560,99999,MAKOUA,CG,CF,NA,FCOM,-17,15650,3800,19730102,20130705
644580,99999,OUESSO,CG,CF,NA,FCOU,1617,16050,3530,19491202,20130705
644590,99999,IMPFONDO,CG,CF,NA,FCOI,1617,18067,3270,19491205,20130705
644600,99999,SOUANKE,CG,CF,NA,FCOS,2067,14033,5500,19500801,20120620
644620,99999,KELLE,CG,CF,NA,FCOK,-83,14533,4080,20040619,20130705
644625,99999,BONGOR,CD,CD,NA,FTTB,10283,15383,3280,20050423,20100111
644630,99999,EWO,CG,CF,NA,FCOE,-867,14800,4590,20080914,20130705
645000,99999,LIBREVILLE,GO,GB,NA,FOOL,450,9417,150,19490401,20130705
645010,99999,PORT-GENTIL,GO,GB,NA,FOOG,-700,8750,40,19490307,20130705
645030,99999,MAYUMBA,GO,GB,NA,FOOY,-3417,10650,340,19491206,20090720
645040,99999,COCOBEACH,GO,GB,NA,FOOC,1000,9600,130,19491205,20061009
645070,99999,TCHIBANGA,GO,GB,NA,FOOT,-2850,11017,790,19730101,20130705
645100,99999,BITAM,GO,GB,NA,FOOB,2083,11483,5990,19730101,20130705
645120,99999,OYEM,GO,GB,NA,FOGO,1583,11567,5900,20100901,20130705
645450,99999,MEKAMBO,GO,GB,NA,FOOE,1016,13933,5010,19730103,20061220
645500,99999,MOUILA,GO,GB,NA,FOGM,-1867,11017,890,19491202,20130705
645510,99999,LAMBARENE,GO,GB,NA,FOGR,-717,10233,260,19491206,20130705
645520,99999,MITZIC,GO,GB,NA,FOOM,783,11533,5830,19491202,20120207
645525,99999,OYEM,GO,GB,NA,FOGO,1550,11567,6580,20060313,20101101
645530,99999,FRANCEVILLE,GO,GB,NA,FOOF,-1633,13600,4260,19490307,20040919
645533,99999,FRANCEVILLE_MVENGUE,GO,GB,NA,FOON,-1650,13400,3210,19920704,20100406
645560,99999,MAKOKOU,GO,GB,NA,FOOK,567,12867,5150,19730101,20130705
645600,99999,LASTOURSVILLE,GO,GB,NA,FOOR,-833,12717,4850,19730101,20130705
645650,99999,MOANDA,GO,GB,NA,FOOD,-1533,13267,5730,19730101,20080427
645700,99999,FRANCEVILLE_MVENGUE,GO,GB,NA,FOON,-1667,13400,3210,19810101,20130705
646000,99999,BERBERATI,CE,CT,NA,FEFT,4250,15800,5830,19490401,20130705
646010,99999,BOUAR,CE,CT,NA,FEFO,5967,15633,10200,19500918,20130705
646030,99999,BOUCA_U_O_C_A_R,CE,CT,NA,NA,6500,18267,4581,19500201,19521217
646050,99999,BOSSEMBELE,CE,CT,NA,FEFL,5267,17633,6740,19730101,20130322
646100,99999,BOSSANGOA,CE,CT,NA,FEFS,6483,17433,4650,19730101,20130321
646500,99999,BANGUI,CE,CT,NA,FEFF,4400,18517,3660,19490401,20130705
646503,99999,BANGUI-MPOKO,CE,CT,NA,FEFF,4400,18517,3670,19860101,19910613
646540,99999,NDELE,CE,CT,NA,FEFN,8400,20650,5110,19500201,20130313
646550,99999,BRIA,CE,CT,NA,FEFR,6533,21983,5840,19730101,20121218
646560,99999,BANGASSOU,CE,CT,NA,FEFG,4733,22833,5000,19491202,20130105
646580,99999,BIRAO,CE,CT,NA,FEFI,10283,22783,4640,19730101,20120823
646590,99999,OBO,CE,CT,NA,FEFB,5400,26500,6510,19730101,20121204
646600,99999,BAMBARI,CE,CT,NA,FEFM,5850,20650,4750,19730101,20130213
646610,99999,YALINGA,CE,CT,NA,FEFY,6500,23267,6020,19730101,20100226
646620,99999,ALINDAO,CE,CT,NA,FEFA,5050,21200,4490,19730101,20121206
646650,99999,MOBAYE,CE,CT,NA,NA,4317,21183,4060,19920202,20130206
647000,99999,NDJAMENA,CD,CD,NA,FTTJ,12133,15033,2950,19490401,20130705
647010,99999,MAO,CD,CD,NA,FTTU,14117,15317,3550,19730108,20130705
647020,99999,BOL-BERIM,CD,CD,NA,FTTL,13433,14733,2920,19730101,20130705
647040,99999,ZOUAR,CD,CD,NA,NA,20450,16567,8090,20040307,20040307
647050,99999,BOUSSO,CD,CD,NA,FTTS,10483,16717,3360,19730101,20130704
647060,99999,MOUNDOU,CD,CD,NA,FTTD,8567,16067,4290,19730101,20130705
647070,99999,MOUSSORO,CD,CD,NA,NA,13650,16500,3010,19730208,20050902
647080,99999,BOKORO,CD,CD,NA,FTTK,12383,17050,3010,19730102,20130705
647085,99999,BILTINE,CD,CD,NA,FTTE,20900,20900,5120,20080827,20120417
647086,99999,LAI,CD,CD,NA,FTTH,9400,16300,3570,20090223,20091209
647090,99999,PALA,CD,CD,NA,FTTP,9367,14967,3200,19730101,20130705
647200,99999,BARDAI-ZOUGRA,CD,CD,NA,FTTZ,21450,17050,10740,20021211,20050927
647500,99999,SARH,CD,CD,NA,FTTA,9150,18383,3650,19490408,20130705
647510,99999,ATI,CD,CD,NA,NA,13217,18317,3340,19730101,20130705
647530,99999,FAYA,CD,CD,NA,FTTY,18000,19167,2340,19730101,20130705
647540,99999,AM-TIMAN,CD,CD,NA,FTTN,11033,20283,4360,19730101,20130705
647550,99999,GOZ-BEIDA,CD,CD,NA,NA,12233,21417,5570,19730319,20050630
647560,99999,ABECHE,CD,CD,NA,FTTC,13850,20850,5450,19500306,20130705
647570,99999,FADA,CD,CD,NA,NA,17167,21550,5400,19730802,20130612
647580,99999,MONGO,CD,CD,NA,NA,12183,18683,4300,19500316,20111212
648100,99999,MALABO,GQ,EK,NA,FGSL,3750,8767,560,19740618,20130705
648200,99999,BATA_(RIO_MUNI),GQ,EK,NA,FGBT,1900,9800,80,20071005,20130705
648510,99999,MAROUA-SALAK,CM,CM,NA,FKKL,10450,14250,4220,19500201,20130627
648514,99999,YAGOUA,CM,CM,NA,FKKJ,10400,15233,3220,19810220,19830615
648530,99999,KAELE,CM,CM,NA,NA,10100,14450,3890,20050105,20050904
648600,99999,GAROUA,CM,CM,NA,FKKR,9333,13383,2440,19500201,20130705
648700,99999,NGAOUNDERE,CM,CM,NA,FKKN,7350,13567,11040,19500201,20130705
648800,99999,BANYO,CM,CM,NA,FKAB,6783,11817,11100,19730101,20051128
648810,99999,TIBATI,CM,CM,NA,NA,6483,12633,8700,NA,NA
648820,99999,MEIGANGA,CM,CM,NA,FKAM,6533,14367,10270,19730101,20040913
648821,99999,MAROUA_SALAK,CM,CM,NA,FKKL,10450,14250,4240,20050630,20100916
648900,99999,MAMFE,CM,CM,NA,FKKF,5717,9283,1260,19500201,20080518
648910,99999,DSCHANG,CM,CM,NA,NA,5450,10067,14080,NA,NA
648920,99999,BAMENDA,CM,CM,NA,FKKV,6050,10117,12390,19790501,20100419
648930,99999,KOUNDJA,CM,CM,NA,FKKM,5650,10750,12100,19500814,20071022
649000,99999,YOKO,CM,CM,NA,FKAY,5550,12367,10310,19500211,20080606
649010,99999,BETARE-OYA,CM,CM,NA,FKAO,5600,14067,8040,19500203,20060218
649100,99999,DOUALA_OBS.,CM,CM,NA,FKKD,4000,9733,90,19491202,20130705
649110,99999,NKONGSAMBA,CM,CM,NA,FKAN,4950,9933,8210,19491205,20100119
649120,99999,TIKO,CM,CM,NA,FKKC,4083,9367,520,19730101,20110113
649200,99999,BAFIA,CM,CM,NA,FKAF,4733,11250,5000,19730103,20060413
649220,99999,NANGAWEBOKO,CM,CM,NA,NA,4650,12400,6230,19500201,19511205
649300,99999,BERTOUA,CM,CM,NA,FKKO,4600,13733,6680,19500201,20130701
649310,99999,BATOURI,CM,CM,NA,FKKI,4467,14367,6560,19500201,20011027
649420,99999,ESEKA,CM,CM,NA,NA,3650,10767,2270,19500201,19511225
649500,99999,YAOUNDE,CM,CM,NA,FKYS,3833,11517,7600,19490914,20130705
649504,99999,YAOUNDE,CM,CM,NA,FKKY,3833,11517,7510,19930408,20040915
649600,99999,ABONG-MBANG,CM,CM,NA,FKAG,3967,13200,6930,19730101,20080118
649610,99999,LOMIE,CM,CM,NA,FKAL,3150,13617,6240,19730101,19980923
649620,99999,YOKADOOMA,CM,CM,NA,NA,3517,15100,5340,19500211,19511202
649700,99999,CAMPO,CM,CM,NA,NA,2367,9800,250,19500301,20121122
649710,99999,KRIBI,CM,CM,NA,FKKB,2950,9900,160,19500201,20120519
649720,99999,EBOLOWA,CM,CM,NA,NA,2900,11167,6280,NA,NA
649730,99999,AMNAM,CM,CM,NA,NA,2383,11283,6020,19500318,19511225
650010,99999,YELWA,NI,NI,NA,NA,10883,4750,2440,19490321,20130705
650020,99999,ENUGU,NI,NI,NA,DNEN,6467,7567,1420,20040811,20130502
650030,99999,BIRNIN_KEBBI,NI,NI,NA,NA,12467,4217,2200,20040902,20111219
650035,99999,AKURE,NI,NI,NA,DNAK,7250,5300,3350,20110328,20110328
650100,99999,SOKOTO,NI,NI,NA,DNSO,13017,5250,3020,19490321,20130514
650150,99999,GUSAU,NI,NI,NA,DNGU,12167,6700,4690,19730102,20060127
650190,99999,KADUNA,NI,NI,NA,DNKA,10600,7450,6420,19490321,20130705
650280,99999,KATSINA,NI,NI,NA,DNKT,13007,7661,5060,19490321,20130705
650300,99999,ZARIA,NI,NI,NA,DNZA,11100,7683,6640,19730812,20130704
650460,99999,KANO,NI,NI,NA,DNKN,12050,8533,4720,19430501,20130705
650550,99999,BAUCHI,NI,NI,NA,NA,10283,9817,6090,19490421,20130411
650640,99999,NGURU,NI,NI,NA,NA,12883,10467,3440,19490411,20130705
650730,99999,POTISKUM,NI,NI,NA,NA,11700,11033,4140,19490321,20130608
650750,99999,GOMBE,NI,NI,NA,DNGO,10283,11150,5050,20120613,20130703
650820,99999,MAIDUGURI,NI,NI,NA,NA,11850,13083,3540,19430501,20130510
651000,99999,IBADAN,NI,NI,NA,DNIB,7367,3983,2210,20040815,20130517
651010,99999,ILORIN,NI,NI,NA,DNIL,8483,4583,3050,19500203,20130705
651080,99999,SHAKI,NI,NI,NA,NA,8667,3383,2680,19870518,20130517
651120,99999,BIDA,NI,NI,NA,DNBI,9100,6017,1430,19500101,20130705
651125,99999,ABUJA_NNAMDI_AZIKIW,NI,NI,NA,DNAA,9000,7250,3420,20110907,20130503
651230,99999,MINNA,NI,NI,NA,NA,9617,6533,2600,19490516,20130705
651240,99999,LAFIA,NI,NI,NA,NA,8550,8533,1810,20110601,20130701
651250,99999,ABUJA,NI,NI,NA,NA,9250,7000,3440,19880101,20130705
651340,99999,JOS,NI,NI,NA,DNJO,9867,8900,12850,19490305,20130705
651450,99999,IBI,NI,NI,NA,NA,8183,9750,1110,19500306,20130625
651640,99999,NA,NA,NA,NA,NA,NA,NA,NA,19870518,19870518
651670,99999,YOLA,NI,NI,NA,DNYO,9233,12467,1740,19500211,20130515
652000,99999,ISEYIN,NI,NI,NA,NA,7967,3600,3300,20090303,20130705
652010,99999,LAGOS-IKEJA,NI,NI,NA,DNMM,6583,3333,380,19490225,20130705
652015,99999,MAIDUGURI,NI,NI,NA,DNMA,11850,13083,3350,20040804,20130502
652016,99999,IMO-SAM_MBAKWE,NI,NI,NA,DNIM,5417,7200,1140,20110529,20111221
652017,99999,OSUBI_AIRPORT,NI,NI,NA,DNSU,5583,5583,80,NA,NA
652020,99999,OSHODI,NI,NI,NA,NA,6500,3383,190,19430609,20120808
652030,99999,LAGOS_ROOF,NI,NI,NA,NA,6450,3400,190,20111019,20130622
652050,99999,BOGUS_NIGERIAN,NI,NI,NA,NA,NA,NA,NA,19880106,20041231
652080,99999,IBADAN,NI,NI,NA,NA,7433,3900,2280,19490225,20130705
652100,99999,IJEBU_ODE,NI,NI,NA,NA,6833,3933,770,20090303,20130705
652130,99999,ABEOKUTA,NI,NI,NA,NA,7167,3333,1040,19830701,20130705
652150,99999,OSHOGBO,NI,NI,NA,DNOS,7783,4483,3040,19730101,20130705
652220,99999,ONDO,NI,NI,NA,NA,7100,4833,2870,19490325,20130603
652240,99999,ADO_EKITI,NI,NI,NA,NA,7650,5200,4530,20120120,20120120
652290,99999,BENIN,NI,NI,NA,DNBE,6317,5100,790,19490225,20130705
652320,99999,AKURE,NI,NI,NA,DNAK,7283,5300,3750,20110601,20130704
652360,99999,WARRI,NI,NI,NA,NA,5517,5733,40,19490225,20130705
652430,99999,LOKOJA,NI,NI,NA,NA,7800,6733,440,19490325,20130705
652450,99999,ONITSHA,NI,NI,NA,NA,6150,6783,860,19871202,20120827
652460,99999,AWKA,NI,NI,NA,NA,6200,7050,3250,20120613,20130301
652500,99999,PORT_HARCOURT,NI,NI,NA,DNPO,4850,7017,180,19490225,20130705
652510,99999,NA,NA,NA,NA,NA,NA,NA,NA,19870518,19870518
