USAF,WBAN,STATION_NAME,CTRY,FIPS,STATE,CALL,LAT,LON,ELEV(.1M),BEGIN,END
10000,99999,BOGUS_NORWAY,NO,NO,NA,ENRS,NA,NA,NA,20010927,20041019
10010,99999,JAN_MAYEN,NO,NO,NA,ENJA,70933,-8667,90,19310101,20130705
10013,99999,ROST,NO,NO,NA,NA,NA,NA,NA,19861120,19880105
10014,99999,SOERSTOKKEN,NO,NO,NA,ENSO,59783,5350,490,19861120,20130705
10015,99999,BRINGELAND,NO,NO,NA,ENBL,61383,5867,3270,19870117,20111020
10016,99999,RORVIK-RYUM,NO,NO,NA,NA,64850,11233,140,19870116,19910806
10017,99999,FRIGG,NO,NO,NA,ENFR,59933,2417,480,19880320,20050228
10020,99999,VERLEGENHUKEN,NO,SV,NA,NA,80050,16250,80,19861109,20130705
10030,99999,HORNSUND,NO,SV,NA,NA,77000,15500,120,19850601,20130705
10040,99999,NY-ALESUND_II,NO,SV,NA,ENAS,78917,11933,80,19730101,20051227
10050,99999,ISFJORD_RADIO,NO,NO,NA,ENIS,78067,13633,50,19310103,20110106
10060,99999,EDGEOYA,NO,NO,NA,NA,78250,22783,140,19730101,20130705
10070,99999,NY-ALESUND,NO,SV,NA,NA,78917,11933,80,19730106,20130705
10071,99999,NA,NA,NA,NA,NA,NA,NA,NA,20050210,20050210
10080,99999,SVALBARD_LUFTHAVN,NO,SV,NA,ENSB,78250,15467,290,19750929,20130705
10090,99999,KARL_XII_OYA,NO,SV,NA,NA,80650,25000,50,19550101,20130705
10100,99999,ANDOYA,NO,NO,NA,ENAN,69300,16133,130,19310103,20130705
10110,99999,KVITOYA,NO,SV,NA,NA,80067,31500,100,19861118,20130705
10120,99999,NA,NA,NA,NA,NA,NA,NA,NA,19741130,19751116
10140,99999,SENJA-LAUKHELLA,NO,NO,NA,NA,69233,17900,90,19730101,20110831
10150,99999,HEKKINGEN_FYR,NO,NO,NA,NA,69600,17833,140,19800314,20130705
10160,99999,KONGSOYA,NO,NO,NA,NA,78933,28900,200,19930501,20130705
10170,99999,AKSELOYA,NO,SV,NA,NA,77683,14783,60,19730101,20130705
10190,99999,SVARTTANGEN,NO,NO,NA,NA,77517,20817,200,20100825,20120616
10200,99999,SORKAPPOYA,NO,SV,NA,NA,76483,16550,100,20101008,20130705
10230,99999,BARDUFOSS,NO,NO,NA,ENDU,69067,18533,790,19400713,20130705
10231,99999,DRAUGEN,NO,NO,NA,ENDR,64349,7800,0,20040510,20130705
10240,99999,PYRAMIDEN,NO,NO,NA,NA,78656,16360,200,19730101,20130705
10250,99999,TROMSO-LANGNES,NO,NO,NA,ENTC,69683,18917,100,19730101,20130705
10260,99999,TROMSO,NO,NO,NA,NA,69650,18933,1150,19970201,20130705
10270,99999,TROMSO-HOLT,NO,NO,NA,NA,69650,18900,200,20110928,20130705
10280,99999,BJORNOYA,NO,NO,NA,ENBJ,74517,19000,180,19310103,20130705
10300,99999,NA,NA,NA,NA,NA,NA,NA,NA,19510101,19601231
10320,99999,OVERBYGD,NO,NO,NA,NA,69017,19283,780,19730101,20070307
10330,99999,TORSVAG_FYR,NO,NO,NA,NA,70250,19500,240,19730101,20130705
10340,99999,FUGLOYKALVEN_FYR,NO,NO,NA,NA,70317,20150,380,19871202,20050603
10350,99999,LYNGEN_GJERDVASSBU,NO,NO,NA,NA,69559,20094,7100,19730101,20130705
10360,99999,SKIBOTIN,NO,NO,NA,NA,69367,20267,50,20040510,20050922
10370,99999,SKIBOTN2,NO,NO,NA,NA,69383,20267,60,19730101,20130705
10400,99999,SKJERVOY,NO,NO,NA,NA,70033,20983,150,19730101,19780927
10410,99999,NORDREISA-OYENG,NO,NO,NA,NA,69733,21017,50,19730101,20070307
10420,99999,HASVIK-SLUSKFJELLET,NO,NO,NA,NA,70617,22450,4380,20080917,20091216
10430,99999,ROGNSUNDET,NO,NO,NA,NA,70417,22817,100,19730101,20130705
10435,99999,HASVIK,NO,NO,NA,ENHK,70483,22150,60,19750515,20111014
10440,99999,HASVIK_AP,NO,NO,NA,ENHK,70483,22150,60,20110928,20130705
10450,99999,NORDSTRAUM_I_KVAENA,NO,NO,NA,NA,69833,21883,60,19730101,20130705
10455,99999,NA,NA,NA,NA,NA,NA,NA,NA,19741117,19750904
10460,99999,SORKJOSEN,NO,NO,NA,ENSR,69783,20950,50,19750905,20130705
10470,99999,KAUTOKEINO,NO,NO,NA,ENKA,69000,23033,3070,19730101,20130705
10490,99999,ALTA_LUFTHAVN,NO,NO,NA,ENAT,69983,23367,30,19730101,20130705
10510,99999,SUOLOVUOPMI,NO,NO,NA,NA,69583,23533,3740,19730102,20050727
10520,99999,HAMMERFEST_AP,NO,NO,NA,ENHF,70683,23683,790,19401008,20130705
10530,99999,HAMMERFEST_RADIO,NO,NO,NA,NA,70683,23683,700,19730101,19871226
10550,99999,FRUHOLMEN_FYR,NO,NO,NA,NA,71100,23983,140,19310101,20130705
10570,99999,CUOVDDATMOHKKI,NO,NO,NA,NA,69367,24433,2860,19730101,20130705
10580,99999,SUOLOVUOPMI_LULIT,NO,NO,NA,NA,69567,23533,3810,20050218,20130705
10590,99999,BANAK,NO,NO,NA,ENNA,70067,24983,80,19730101,20130705
10610,99999,BRENNELV,NO,NO,NA,NA,70067,25117,340,19730101,19840707
10617,99999,OSEBERG,NO,NO,NA,NA,NA,NA,NA,19890101,19901001
10620,99999,HOPEN,NO,SV,NA,ENHO,76500,25067,100,19550101,20130705
10630,99999,KISTRAND_III,NO,NO,NA,NA,70450,25217,60,19730101,19870715
10650,99999,KARASJOK,NO,NO,NA,NA,69467,25517,1330,19730101,20130705
10660,99999,HELNES_FYR,NO,NO,NA,NA,71067,26233,330,19730101,20040619
10670,99999,LEVAJOK-EVJEN,NO,NO,NA,NA,69900,26417,1120,19730103,19820924
10671,99999,NA,NA,NA,NA,NA,NA,NA,NA,20070307,20070307
10680,99999,HONNINGSVAG_AP,NO,NO,NA,ENHV,71000,25967,130,19800604,20130705
10720,99999,NA,NA,NA,NA,NA,NA,NA,NA,19740227,19740227
10740,99999,MEHAMN_AP,NO,NO,NA,ENMH,71016,27817,130,19750905,20130705
10750,99999,RUSTEFJELBMA,NO,NO,NA,NA,70400,28200,110,19730101,20130531
10760,99999,TANABRU,NO,NO,NA,NA,70212,28159,320,20121121,20130705
10780,99999,SLETTNES_FYR,NO,NO,NA,NA,71100,28217,100,19730101,20130705
10820,99999,NYRUD,NO,NO,NA,NA,69147,29244,560,19730919,20130705
10830,99999,BERLEVAG,NO,NO,NA,ENBV,70867,29033,130,19750905,20130705
10840,99999,PASVIK,NO,NO,NA,NA,69450,30033,270,19730101,20130701
10850,99999,BUGOYFJORD,NO,NO,NA,NA,69850,29417,80,19730101,19781008
10860,99999,BATSFJORD_AP,NO,NO,NA,ENBS,70600,29700,1520,20110928,20130705
10874,99999,K18_KOTTER_OIL_PLAT,NO,NO,NA,EHQA,53083,3967,900,NA,NA
10875,99999,HEIMDAL,NO,NO,NA,ENHM,59567,2217,900,20110101,20130705
10876,99999,NORNE,NO,NO,NA,ENNE,66017,8083,900,20110101,20130705
10877,99999,TROLL_A,NO,NO,NA,ENQA,60633,3717,900,20110101,20130705
10878,99999,SNORRE_A,NO,NO,NA,ENSE,61450,2133,900,20110101,20130705
10879,99999,SNORRE_B,NO,NO,NA,ENQR,61533,2200,900,20110101,20130705
10880,99999,VADSO_AP,NO,NO,NA,ENVD,70050,29833,390,19750905,20130705
10881,99999,NARVIK_III-FRAMNES,NO,NO,NA,ENNK,68467,17500,230,20050405,20111020
10882,99999,ROEROS,NO,NO,NA,ENRO,62567,11333,6260,20050405,20130705
10883,99999,SANDANE-ANDA,NO,NO,NA,ENSD,61833,6117,600,20050405,20111014
10884,99999,SKIEN_GEITERYGGEN,NO,NO,NA,ENSN,59183,9567,1410,20050405,20130705
10885,99999,BATSFJORD,NO,NO,NA,ENBS,70600,29733,1490,19940718,20111014
10886,99999,SLEIPNER_A_OIL_PLATF,NO,NO,NA,ENSL,58367,1900,300,20050405,20130705
10887,99999,TROLL_C_OIL_PLATFORM,NO,NO,NA,ENQC,60886,3610,200,20110512,20130705
10890,99999,KIRKENES,NO,NO,NA,ENKR,69733,29900,910,19401101,20130705
10920,99999,MAKKAUR_FRY,NO,NO,NA,NA,70700,30083,90,19730101,20130705
10970,99999,SVARTNES,NO,NO,NA,ENSS,70350,31050,120,19930209,20111014
10980,99999,VARDO,NO,NO,NA,NA,70367,31100,150,19310103,20130705
10985,99999,NA,NA,NA,NA,NA,NA,NA,NA,19741117,19750904
10986,99999,NA,NA,NA,NA,NA,NA,NA,NA,19741117,19750904
10987,99999,NA,NA,NA,NA,NA,NA,NA,NA,19741117,19750904
10990,99999,VARDO_AP,NO,NO,NA,ENSS,70350,31050,120,20110928,20130705
11010,99999,BOGUS_NORWEGIAN,NO,NO,NA,NA,NA,NA,NA,19851202,20070307
11020,99999,SKLINNA_FYR,NO,NO,NA,NA,65200,11000,160,19750228,20130705
11025,99999,HEIDRUN,NO,NO,NA,ENHE,65333,7317,800,19990424,20130705
11030,99999,LEKA,NO,NO,NA,NA,65099,11700,470,19730101,20070307
11040,99999,ROTVAER,NO,NO,NA,NA,68367,15950,80,20070605,20080817
11050,99999,ROTVAER,NO,NO,NA,NA,68367,15950,80,19730101,20130705
11051,99999,NA,NA,NA,NA,NA,NA,NA,NA,20070307,20070307
11060,99999,ROEST_III,NO,NO,NA,NA,67517,12100,20,19280101,20081204
11070,99999,ROST_LUFTHAVN,NO,NO,NA,ENRS,67517,12100,40,19880303,20130705
11080,99999,VEGA-VALLSJO,NO,NO,NA,NA,65700,11850,90,19910801,20130705
11090,99999,SKALVAER,NO,NO,NA,NA,65867,12183,60,19730101,19800910
11100,99999,YTTERHOLMEN_FYR,NO,NO,NA,NA,66000,11683,330,19961201,20050319
11110,99999,NA,NA,NA,NA,NA,NA,NA,NA,19730116,19730718
11120,99999,BRONNOYSUND_AP,NO,NO,NA,ENBN,65450,12217,90,19730101,20130705
11130,99999,GLOMFJORD,NO,NO,NA,NA,66800,13983,390,20040406,20091216
11133,99999,DAGALI,NO,NO,NA,ENDI,60417,8517,7980,19860509,20030427
11140,99999,REIPA,NO,NO,NA,NA,66900,13633,80,20090702,20130705
11150,99999,MYKEN,NO,NO,NA,NA,66767,12483,130,19730101,20130705
11160,99999,SANDNESSJOEN_AP,NO,NO,NA,ENST,65950,12467,170,19730401,20130705
11170,99999,TJOTTA,NO,NO,NA,NA,65817,12417,210,20040119,20130705
11210,99999,SOLVAER_III,NO,NO,NA,NA,66367,12617,100,19730101,20130705
11220,99999,MOSJOEN_AP,NO,NO,NA,ENMS,65783,13217,730,19881014,20130705
11240,99999,SNASA,NO,NO,NA,NA,64159,12469,1950,20050218,20130705
11310,99999,GLAPEN_LIGHTHOUSE,NO,NO,NA,NA,67883,13050,310,19730101,19850625
11320,99999,MAJAVATN_V,NO,NO,NA,NA,65167,13367,3190,20080229,20130705
11330,99999,LAKSFORS,NO,NO,NA,NA,65617,13283,500,20111129,20130705
11340,99999,MAJAVATN_III,NO,NO,NA,NA,65183,13417,3390,19730101,20070630
11350,99999,SELJELIA,NO,NO,NA,NA,66117,13583,1230,20111129,20130705
11370,99999,STOTT,NO,NO,NA,NA,66933,13450,120,19730806,20070307
11380,99999,TENNHOLMEN_(LGT-H),NO,NO,NA,NA,67300,13500,140,19850912,20070307
11390,99999,VAEROY_HELIPORT,NO,NO,NA,ENVR,67653,12723,40,20110928,20130705
11410,99999,LEKNES,NO,NO,NA,ENLK,68150,13617,260,19730620,20130705
11430,99999,DRAG-AJLUOKTA,NO,NO,NA,NA,68050,13883,190,20070806,20130705
11440,99999,HELLIGVAER_II,NO,NO,NA,NA,67400,13883,240,20050315,20130705
11450,99999,KVALNES_I_LOFOTEN,NO,NO,NA,NA,68350,13967,150,19730101,19820504
11460,99999,SKAMDAL,NO,NO,NA,NA,66233,13900,50,19730101,20130705
11470,99999,VARNTRESK,NO,NO,NA,NA,65826,14185,4060,19400907,20130705
11480,99999,STORFORSHEI,NO,NO,NA,NA,66383,14517,1100,20110616,20130705
11490,99999,RANA-BASMOEN,NO,NO,NA,NA,66333,14100,420,19730101,20070228
11500,99999,HJARTASEN,NO,NO,NA,NA,66500,14950,2510,19730103,20130705
11501,99999,NA,NA,NA,NA,NA,NA,NA,NA,20020312,20020312
11505,99999,NA,NA,NA,NA,NA,NA,NA,NA,19751101,19751130
11510,99999,MO_I_RANA_AP,NO,NO,NA,ENRA,66350,14300,700,19730401,20130705
11520,99999,BODO_VI,NO,NO,NA,ENBO,67267,14367,130,19400917,20130705
11530,99999,BODO-VAGONES,NO,NO,NA,NA,67283,14450,330,20111003,20130705
11540,99999,LITLOY_FYR,NO,NO,NA,NA,68583,14300,300,19940406,20030605
11550,99999,BO_I_VESTERALEN_II,NO,NO,NA,NA,68633,14467,120,19730101,20041201
11560,99999,BO_I_VESTERALEN,NO,NO,NA,NA,68600,14433,80,20040510,20130705
11580,99999,SETSA,NO,NO,NA,NA,67167,15483,80,20100114,20130705
11600,99999,SKROVA_FYR,NO,NO,NA,NA,68150,14650,110,19730101,20130705
11610,99999,SVOLVAER_AP,NO,NO,NA,ENSH,68245,14669,90,19730620,20130705
11620,99999,STORKMARKNES_AP,NO,NO,NA,ENSK,68567,15017,30,19730620,20130705
11630,99999,BOLNA,NO,NO,NA,NA,66500,15250,5490,19730101,19770823
11650,99999,GROTOY,NO,NO,NA,NA,67833,14783,60,19730101,19781031
11670,99999,SORTLAND,NO,NO,NA,NA,68700,15417,30,19850201,20130705
11680,99999,KLEIVA_I_SORTLAND,NO,NO,NA,NA,68650,15283,230,19730101,20060611
11690,99999,SALTDAL-NORDNES,NO,NO,NA,NA,66937,15316,370,19830101,20130705
11691,99999,NA,NA,NA,NA,NA,NA,NA,NA,19730101,19781008
11700,99999,FAUSKE-VETEN,NO,NO,NA,NA,67233,15317,1650,19730101,19900307
11720,99999,FINNOY_I_HAMAROY,NO,NO,NA,NA,68000,15617,530,19730101,20060311
11730,99999,NA,NA,NA,NA,NA,NA,NA,NA,19730101,19730731
11751,99999,NA,NA,NA,NA,NA,NA,NA,NA,20040108,20040108
11760,99999,KONGSVIK,NO,NO,NA,NA,68567,16267,250,19730101,19780118
11800,99999,HARSTAD,NO,NO,NA,NA,68800,16533,450,20040510,20130705
11820,99999,EVENSKJER,NO,NO,NA,NA,68583,16583,70,19730101,19851119
11830,99999,EVENES_AP,NO,NO,NA,ENEV,68483,16683,260,19750905,20130705
11840,99999,SANDSOY_I_SENJA,NO,NO,NA,NA,68933,16683,450,19730101,19780613
11841,99999,NA,NA,NA,NA,NA,NA,NA,NA,20070307,20070307
11890,99999,LILAND,NO,NO,NA,NA,68483,16883,150,19730102,20050302
11895,99999,NA,NA,NA,NA,NA,NA,NA,NA,19731008,19750904
11910,99999,SKJOMEN-SLETTJORD,NO,NO,NA,NA,68283,17317,60,19730101,19961104
11920,99999,STRAUMSNES,NO,NO,NA,NA,68417,17650,2000,20110203,20130705
11930,99999,NARVIK_AP,NO,NO,NA,ENNK,68440,17389,310,20010706,20130705
11940,99999,NARVIK_III,NO,NO,NA,ENNK,68467,17500,230,19730101,20050405
11960,99999,TENNEVOLL,NO,NO,NA,NA,68750,17817,210,19730101,20020808
11980,99999,DIVIDALEN_II,NO,NO,NA,NA,68783,19700,2040,20100114,20130705
11990,99999,SIHCCAJAVRI,NO,NO,NA,NA,68750,23533,3820,19490101,20130705
12030,99999,KRAKENES,NO,NO,NA,NA,62033,4983,410,19310904,20130705
12050,99999,SVINOY_LH,NO,NO,NA,NA,62333,5267,370,19730101,20130705
12070,99999,FISKABYGD,NO,NO,NA,NA,62100,5583,410,20040510,20130705
12090,99999,ORSTA-VOLDA_AP,NO,NO,NA,ENOV,62167,6067,740,19841211,20130705
12091,99999,ORSTA-VOLDA-HOVD,NO,NO,NA,ENOV,62183,6050,740,19840910,19841127
12100,99999,ALESUND-VIGRA,NO,NO,NA,ENAL,62567,6117,220,19730101,20130705
12120,99999,ONA_II,NO,NO,NA,NA,62867,6533,150,19550101,20130705
12140,99999,REKDAL,NO,NO,NA,NA,62650,6767,430,20090112,20130705
12150,99999,HJELVIK_MYRBO,NO,NO,NA,NA,62617,7233,350,19730101,20090630
12160,99999,HJELVIK_I_ROMSDAL,NO,NO,NA,NA,62617,7217,160,19731226,20020527
12161,99999,NA,NA,NA,NA,NA,NA,NA,NA,20040412,20040412
12170,99999,MOLDE_AP,NO,NO,NA,ENML,62733,7250,30,19760201,20130705
12180,99999,TAFJORD,NO,NO,NA,NA,62233,7417,170,19730101,20130705
12200,99999,MANNEN,NO,NO,NA,NA,62467,7767,12940,20100315,20130705
12210,99999,TAGDALEN,NO,NO,NA,NA,63050,9083,4150,20080115,20130705
12220,99999,NA,NA,NA,NA,NA,NA,NA,NA,19730101,19751231
12230,99999,KRISTIANSUND_AP,NO,NO,NA,ENKB,63100,7800,620,19730101,20130705
12240,99999,AALESUND,NO,NO,NA,NA,62467,6217,500,19841201,20130705
12250,99999,VEIHOLMEN,NO,NO,NA,NA,63517,7950,50,19730101,20130705
12270,99999,TINGVOLL-HANEM,NO,NO,NA,NA,62833,8300,690,19730101,20081114
12280,99999,SULA,NO,NO,NA,NA,63850,8467,60,19730101,20130705
12300,99999,BJORLI,NO,NO,NA,NA,62267,8200,5790,19730101,20130705
12310,99999,LESJASKOG,NO,NO,NA,NA,62233,8367,6210,19771030,20080731
12320,99999,MARSTEIN,NO,NO,NA,NA,62450,7850,670,19730101,20130705
12330,99999,DOMBAAS,NO,NO,NA,NA,62083,9117,6380,20061121,20130705
12340,99999,ORKDAL_THAMSHAMM,NO,NO,NA,NA,63317,9850,40,20061121,20130705
12350,99999,DOMBAS-KIRKENAER,NO,NO,NA,NA,62083,9133,6450,19360101,19760602
12360,99999,KJOREMSGRENDE,NO,NO,NA,NA,62100,9050,6260,20050218,20100104
12370,99999,FOKSTUA_II,NO,NO,NA,NA,62150,9283,9740,20050402,20130705
12380,99999,FOKSTUA_II,NO,NO,NA,NA,62117,9283,9740,19730101,20130705
12390,99999,HJERKINN_II,NO,NO,NA,NA,62217,9550,10120,20100907,20130705
12400,99999,HALTEN_FYR,NO,NO,NA,NA,64167,9400,160,19850110,20130705
12410,99999,ORLAND_III,NO,NO,NA,ENOL,63700,9600,70,19730101,20130705
12420,99999,AFJORD,NO,NO,NA,NA,63967,10217,210,20080115,20130705
12430,99999,SONGLI,NO,NO,NA,NA,63333,9650,3000,19730101,19761119
12450,99999,OPPDAL-SETER,NO,NO,NA,NA,62600,9667,6060,19760201,20130705
12480,99999,VALLERSUND,NO,NO,NA,NA,63850,9733,40,19730101,19751219
12500,99999,FOLLDAL-FREDHEIM,NO,NO,NA,NA,62133,10000,6940,20110928,20130705
12520,99999,BERKAK-LYNGHOLT,NO,NO,NA,NA,62817,10017,4750,19730101,20080930
12530,99999,SOKNEDAL,NO,NO,NA,NA,62950,10183,2990,20090112,20130705
12540,99999,KOTSOY,NO,NO,NA,NA,62983,10550,1270,20090112,20130705
12570,99999,TRONDHEIM_VOLL,NO,NO,NA,NA,63417,10450,1320,20040406,20130705
12580,99999,TRONDHEIM_(TYHOLT),NO,NO,NA,NA,63417,10433,1130,19730101,19810714
12590,99999,BUHOLMRASA_LH,NO,NO,NA,NA,64400,10450,180,19730101,20130705
12620,99999,NORDOYAN_FYR,NO,NO,NA,NA,64800,10550,330,19280102,20130705
12650,99999,TYNSET-HANSMOEN,NO,NO,NA,NA,62267,10733,4840,19490101,20130705
12680,99999,NA,NA,NA,NA,NA,NA,NA,NA,19730101,19750125
12700,99999,KVITHAMAR,NO,NO,NA,NA,63483,10883,400,20111003,20130705
12710,99999,TRONDHEIM-VERNES,NO,NO,NA,ENVA,63467,10933,170,19400413,20130705
12720,99999,FROSTA,NO,NO,NA,NA,63567,10700,700,20110929,20130705
12730,99999,SELBU,NO,NO,NA,NA,63233,11017,1600,20071016,20130705
12740,99999,SELBU-STUBBE,NO,NO,NA,NA,63200,11117,2420,19730101,20061115
12770,99999,STEINKJER,NO,NO,NA,NA,64016,11450,800,19730101,20130705
12771,99999,LEVANGER-EGGEN,NO,NO,NA,NA,63717,11233,950,19730101,19730216
12780,99999,VERDAL-REPPE,NO,NO,NA,NA,63783,11683,830,19850102,20130705
12800,99999,NAMDALSEID-VENGSTAD,NO,NO,NA,NA,64132,11333,1180,19730101,20081231
12810,99999,NAMSSKOGAN,NO,NO,NA,NA,64717,12833,1400,20070105,20130705
12820,99999,RORVIK_AP,NO,NO,NA,ENRM,64833,11133,40,19950901,20130705
12823,99999,RORVIK-RYUM,NO,NO,NA,NA,64850,11233,140,19910827,19950831
12870,99999,SOLENDET,NO,NO,NA,NA,62683,11817,7470,20080115,20130705
12880,99999,ROROS,NO,NO,NA,NA,62567,11383,6300,19730101,20130705
12890,99999,ROROS_LUFTHAVN,NO,NO,NA,ENRO,62583,11350,6260,19840909,20050405
12891,99999,ROROS-AIRPORT,NO,NO,NA,ENRO,62583,11383,6260,19790301,19840817
12900,99999,NAMSOS_AP,NO,NO,NA,ENNM,64467,11567,20,19730401,20130705
12910,99999,GARTLAND,NO,NO,NA,NA,64533,12383,950,20090112,20130705
12920,99999,MERAKER-UTSYN,NO,NO,NA,NA,63417,11700,2400,19730101,20040930
12930,99999,MERAKER-EGGE,NO,NO,NA,NA,63417,11733,1710,20050215,20130705
12940,99999,NA,NA,NA,NA,NA,NA,NA,NA,19730101,19740629
12950,99999,HOYLANDET-DRAG.,NO,NO,NA,NA,64550,12150,270,19730101,20070612
12960,99999,BERG_I_SNASA,NO,NO,NA,NA,64250,12417,1270,19730101,19770606
12980,99999,NORDLI-HOLAND,NO,NO,NA,NA,64450,13717,4330,19730101,20130705
13000,99999,GULLFAKS_C,NO,NO,NA,NA,61200,2267,780,20010601,20130705
13005,99999,STATFJORD_OIL_RIG_&,NO,NO,NA,ENSF,61217,1833,150,19841204,20130705
13040,99999,YTTEROYANE_FYR,NO,NO,NA,NA,61567,4683,250,19840901,20130705
13060,99999,HELLISOY_FYR,NO,NO,NA,NA,60750,4717,230,19730101,20041229
13070,99999,FEDJE,NO,NO,NA,NA,60750,4717,200,20050218,20130705
13080,99999,FURUNESET,NO,NO,NA,NA,61300,5050,70,20110928,20130705
13090,99999,KINN_ISLAND,NO,NO,NA,NA,61567,4800,100,19310104,20051022
13100,99999,FLORO_AP,NO,NO,NA,ENFL,61567,5017,90,19800407,20130705
13110,99999,BERGEN-FLESLAND,NO,NO,NA,ENBR,60283,5233,500,19730101,20130705
13140,99999,FOSSMARK,NO,NO,NA,NA,60521,5725,100,20120615,20130705
13150,99999,EVANGER,NO,NO,NA,NA,60633,6100,170,20101214,20130705
13160,99999,BERGEN-FREDRIKSBERG,NO,NO,NA,NA,60400,5317,400,19730101,19851230
13170,99999,BERGEN-FLORIDA,NO,NO,NA,NA,60383,5333,360,19730101,20130705
13180,99999,SANDANE,NO,NO,NA,NA,61783,6183,510,20050614,20130705
13190,99999,TAKLE,NO,NO,NA,NA,61033,5383,380,19730101,20130705
13200,99999,SANDANE_AP,NO,NO,NA,ENSD,61833,6117,600,19810904,20130705
13210,99999,STRYN,NO,NO,NA,NA,61900,6550,2080,19730101,20130705
13220,99999,FORDE-TEFRE,NO,NO,NA,NA,61467,5917,640,19730101,20130705
13230,99999,FORDE_AP,NO,NO,NA,ENBL,61383,5750,3210,19840502,20130705
13250,99999,MODALEN_II,NO,NO,NA,NA,60833,5950,1140,19730101,20080924
13260,99999,MODALEN_III,NO,NO,NA,NA,60850,5983,1250,20081008,20130705
13270,99999,KVAMSKOGEN-JONSHOGD,NO,NO,NA,NA,60383,5967,4520,20061121,20130705
13280,99999,KVAMSKOGEN,NO,NO,NA,NA,60400,5917,4080,19730101,20060726
13290,99999,KVAMSOY,NO,NO,NA,NA,60350,6267,500,20050218,20130705
13300,99999,OMASTRAND,NO,NO,NA,NA,60217,5983,60,19730101,20050910
13320,99999,FJAERLAND_BREMUSEET,NO,NO,NA,NA,61433,6767,30,20060201,20130705
13340,99999,NA,NA,NA,NA,NA,NA,NA,NA,20070413,20070413
13360,99999,VOSS-BO,NO,NO,NA,ENBM,60650,6500,1220,19730101,20030331
13370,99999,VOSSEVANGEN,NO,NO,NA,NA,60633,6433,550,20050218,20130705
13380,99999,VANGSNES,NO,NO,NA,NA,61167,6650,510,20040706,20130705
13390,99999,VANGSNES,NO,NO,NA,NA,61167,6650,530,19730101,20011102
13400,99999,FET_I_EIDFJORD,NO,NO,NA,NA,60417,7283,7370,20050726,20130705
13410,99999,EIDFJORD-BU,NO,NO,NA,NA,60467,6867,1660,19830101,20070227
13420,99999,ULLENSVANG,NO,NO,NA,NA,60317,6650,120,19730101,20130626
13440,99999,MJOLFJELL,NO,NO,NA,NA,60700,6950,6950,19730101,20130705
13450,99999,OLDEN-VANGBERG,NO,NO,NA,NA,61867,6750,780,19731007,19940928
13460,99999,MIDTSTOVA,NO,NO,NA,NA,60650,7267,11620,20111125,20130705
13470,99999,SOGNDAL_AP,NO,NO,NA,ENSG,61150,7133,4970,19850118,20130705
13471,99999,SOGNDAL-HAUKASEN,NO,NO,NA,ENSG,61167,7133,4980,19840801,19841217
13500,99999,FINSEVATN,NO,NO,NA,NA,60600,7533,12080,20030330,20130705
13510,99999,FINSE_III,NO,NO,NA,NA,60600,7517,12240,19730102,20011210
13520,99999,SANDHAUG,NO,NO,NA,NA,60183,7483,12500,20040107,20130705
13550,99999,LAERDAL_IV,NO,NO,NA,NA,61060,7300,50,19730101,20130705
13560,99999,FANNARAKI,NO,NO,NA,NA,61516,7906,20620,19881125,20130705
13570,99999,FORTUN,NO,NO,NA,NA,61500,7700,350,19730101,20040608
13580,99999,HEMSEDAL_II,NO,NO,NA,NA,60850,8600,6040,20110929,20130705
13590,99999,GEILO_OLDEBRATEN,NO,NO,NA,NA,60533,8200,7730,19730101,20130705
13591,99999,NA,NA,NA,NA,NA,NA,NA,NA,20070307,20070307
13600,99999,BRATA-SLETTOM,NO,NO,NA,NA,61900,7917,6640,19730101,20130705
13610,99999,GROTLI_III,NO,NO,NA,NA,62017,7667,8720,19730101,20130705
13620,99999,JUVVASSHOE,NO,NO,NA,NA,61667,8367,18940,20090626,20130705
13630,99999,NA,NA,NA,NA,NA,NA,NA,NA,19730101,19740906
13640,99999,FILEFJELL,NO,NO,NA,NA,61183,8117,9550,19490101,20130705
13650,99999,BEITOSTOLEN_II,NO,NO,NA,NA,65250,8917,9650,19730404,20130705
13660,99999,SOGNEFJELL,NO,NO,NA,NA,61567,8000,14130,19790301,20130705
13670,99999,FAGERNES,NO,NO,NA,NA,60983,9233,3650,19821001,20130705
13671,99999,BEITOSTOLEN,NO,NO,NA,NA,61233,8933,8280,19730101,19801105
13680,99999,FAGERNES_AP,NO,NO,NA,ENFG,61000,9283,8220,19881014,20130705
13690,99999,ABJORSBRATE,NO,NO,NA,NA,60917,9283,6390,19881001,20130705
13700,99999,SKABU,NO,NO,NA,NA,61517,9400,9280,19730101,20130705
13710,99999,LOKEN_I_VOLBU,NO,NO,NA,NA,61117,9067,5210,19730101,20130705
13720,99999,NESBYEN-SKOGLUND,NO,NO,NA,NA,60567,9133,1670,19730101,20040121
13730,99999,ESBYEN-TODOKK,NO,NO,NA,NA,60567,9133,1660,19730101,20130705
13740,99999,VEST-TORPA_II,NO,NO,NA,NA,60933,10033,5420,19810501,20120930
13741,99999,NA,NA,NA,NA,NA,NA,NA,NA,19730101,19790810
13743,99999,FAGERNES-LEIRIN___&,NO,NO,NA,NA,61000,9300,8220,19880105,19880913
13750,99999,KVITFJELL,NO,NO,NA,NA,61467,10133,10280,19730101,20130705
